id	Question	Model answer	Acceptable?	gpt-4
77	how do you spell padawan from star wars	sampa	No	No, the correct spelling is "Padawan."
77	how do you spell padawan from star wars	learner	No	No, the candidate is not correct. The correct spelling is "Padawan."
77	how do you spell padawan from star wars	jedi	No	No, the candidate is not correct. The correct spelling is Padawan.
77	how do you spell padawan from star wars	P-A-D-A-W-A-N.	Yes	Yes, the candidate is correct.
78	who won last year's grand national 2017	one for arthur	Yes	Yes, the candidate is correct.
78	who won last year's grand national 2017	One For Arthur, ridden by Derek Fox.	Yes	Yes, the candidate is correct.
79	what is the corporate tax rate in great britain	The corporate tax rate in Great Britain is 19%.	Yes	Yes, the candidate is correct. The current corporate tax rate in Great Britain is 19%.
79	what is the corporate tax rate in great britain	20	Yes	Yes, the candidate is correct.
79	what is the corporate tax rate in great britain	20%	Yes	Yes, the candidate is correct.
79	what is the corporate tax rate in great britain	19%	No	No, the candidate is not correct. The corporate tax rate in Great Britain is 20%.
79	what is the corporate tax rate in great britain	20 %	Yes	Yes, the candidate is correct.
80	how many plane surfaces does a cylinder have	Two.	Yes	Yes, the candidate is correct. A cylinder has two plane surfaces, which are the two parallel circular bases.
80	how many plane surfaces does a cylinder have	two	Yes	Yes, the candidate is correct. A cylinder has two plane surfaces, which are the two parallel planes at the top and bottom of the cylinder.
80	how many plane surfaces does a cylinder have	infinite curvilinear surface	No	No, the candidate is not correct. A cylinder has two plane surfaces (the top and bottom bases) and one curved surface. The candidate's answer refers to the curved surface but does not mention the two plane surfaces.
80	how many plane surfaces does a cylinder have	six	No	No, the candidate is not correct. A cylinder has two plane surfaces (the top and bottom bases).
80	how many plane surfaces does a cylinder have	infinite	No	No, the candidate is not correct. A cylinder has two plane surfaces (the top and bottom bases).
81	list the seven gifts of the holy spirit	knowledge	Yes	Yes, the candidate is correct. Knowledge is one of the seven gifts of the Holy Spirit.
81	list the seven gifts of the holy spirit	wisdom	Yes	Yes, the candidate is correct. Wisdom is one of the seven gifts of the Holy Spirit.
81	list the seven gifts of the holy spirit	The seven gifts of the Holy Spirit are wisdom, understanding, counsel, fortitude, knowledge, piety, and fear of the Lord.	Yes	Yes, the candidate is correct.
81	list the seven gifts of the holy spirit	Wisdom, Understanding, Counsel, Fortitude, Knowledge, Piety, and Fear of the Lord.	Yes	Yes, the candidate is correct.
82	who wrote antigone and what are the dates of his birth and death	sophocles	Yes	Yes, the candidate is correct. Sophocles wrote Antigone, and he was born around 497/6 BC and died in winter 406/5 BC.
82	who wrote antigone and what are the dates of his birth and death	Sophocles (496 BC - 406 BC)	Yes	Yes, the candidate is correct. Sophocles wrote Antigone, and he was born around 496 BC and died around 406 BC.
82	who wrote antigone and what are the dates of his birth and death	The play Antigone was written by Sophocles, who was born in 496 BC and died in 406 BC.	Yes	Yes, the candidate is correct. The play Antigone was written by Sophocles, who was born in 496 BC and died in 406 BC.
82	who wrote antigone and what are the dates of his birth and death	Arthur Honegger	No	No, the candidate is not correct. The correct answer is Sophocles, who was born around 497/6 BC and died in winter 406/5 BC.
83	what is the name of the weapon the grim reaper carries	Scythe	Yes	Yes, the candidate is correct.
83	what is the name of the weapon the grim reaper carries	The Grim Reaper is often depicted carrying a scythe.	Yes	Yes, the candidate is correct.
84	animals that are active at dawn and dusk	crepuscular animals	Yes	Yes, the candidate is correct.
84	animals that are active at dawn and dusk	crepuscular	Yes	Yes, the candidate is correct. Crepuscular animals are active at dawn and dusk.
84	animals that are active at dawn and dusk	Crepuscular animals.	Yes	Yes, the candidate is correct.
85	when is season 2 of jessica jones being released	Season 2 of Jessica Jones is set to be released on March 8, 2018.	Yes	Yes, the candidate is correct.
85	when is season 2 of jessica jones being released	March 8 , 2018	Yes	Yes, the candidate is correct.
85	when is season 2 of jessica jones being released	March 8, 2018	Yes	Yes, the candidate is correct.
85	when is season 2 of jessica jones being released	March 8 2018	Yes	Yes, the candidate is correct.
86	who was appointed to manage the national recovery administration	hugh s. johnson	Yes	Yes, the candidate is correct.
86	who was appointed to manage the national recovery administration	General Hugh S. Johnson	Yes	Yes, the candidate is correct. General Hugh S. Johnson was appointed to manage the National Recovery Administration.
86	who was appointed to manage the national recovery administration	harry hopkins	No	No, the candidate is not correct. Hugh S. Johnson was appointed to manage the National Recovery Administration.
86	who was appointed to manage the national recovery administration	President Franklin D. Roosevelt	No	No, the candidate is not correct. The correct answer is Hugh S. Johnson.
86	who was appointed to manage the national recovery administration	Hugh Samuel Johnson	Yes	Yes, the candidate is correct.
86	who was appointed to manage the national recovery administration	Franklin D. Roosevelt was appointed to manage the National Recovery Administration.	No	No, the candidate is not correct. Hugh S. Johnson was appointed to manage the National Recovery Administration, not Franklin D. Roosevelt.
86	who was appointed to manage the national recovery administration	Donald Richberg	No	No, the candidate is not correct. Hugh S. Johnson was appointed to manage the National Recovery Administration.
86	who was appointed to manage the national recovery administration	Samuel Williams	No	No, the candidate is not correct. Hugh S. Johnson was appointed to manage the National Recovery Administration.
87	who dies in the lost city of z	Unknown.	No	No, the candidate is not correct.
87	who dies in the lost city of z	Manley	Yes	Yes, the candidate is correct.
87	who dies in the lost city of z	Fawcett	No	No, the candidate is not correct.
87	who dies in the lost city of z	Henry Costin	No	No, the candidate is not correct.
87	who dies in the lost city of z	nina	No	No, the candidate is not correct.
87	who dies in the lost city of z	Percy Fawcett	No	No, the candidate is not correct.
88	what is the breakdown product formed when one phosphate group is removed from atp	aldehyde	No	No, the candidate is not correct. The correct answer is adenosine diphosphate (ADP).
88	what is the breakdown product formed when one phosphate group is removed from atp	hydroxyl group	No	No, the candidate is not correct. The breakdown product formed when one phosphate group is removed from ATP is adenosine diphosphate (ADP), not a hydroxyl group.
88	what is the breakdown product formed when one phosphate group is removed from atp	ATP	No	No, the candidate is not correct. The correct answer is adenosine diphosphate (ADP).
88	what is the breakdown product formed when one phosphate group is removed from atp	ADP	Yes	Yes, the candidate is correct.
88	what is the breakdown product formed when one phosphate group is removed from atp	hydroxyl	No	No, the candidate is not correct. The breakdown product formed when one phosphate group is removed from ATP is adenosine diphosphate (ADP).
88	what is the breakdown product formed when one phosphate group is removed from atp	acylphosphate intermediate	No	No, the candidate is not correct. The breakdown product formed when one phosphate group is removed from ATP is adenosine diphosphate (ADP).
88	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate (ADP)	Yes	Yes, the candidate is correct.
88	what is the breakdown product formed when one phosphate group is removed from atp	adenosine diphosphate	Yes	Yes, the candidate is correct.
88	what is the breakdown product formed when one phosphate group is removed from atp	oxidative phosphorylation	No	No, the candidate is not correct. The correct answer is adenosine diphosphate (ADP).
88	what is the breakdown product formed when one phosphate group is removed from atp	ADP (Adenosine diphosphate).	Yes	Yes, the candidate is correct.
89	when do dwight and angela start dating again	Unknown.	No	No, the correct answer is "Goodbye Toby" or In "A.A.R.M."
89	when do dwight and angela start dating again	Season 8 , Episode 9	No	No, the candidate is not correct. Dwight and Angela start dating again in "Goodbye Toby" (Season 4, Episode 14) or in "A.A.R.M." (Season 9, Episode 22).
89	when do dwight and angela start dating again	the fourth season	Yes	Yes, the candidate is correct. Dwight and Angela start dating again in the fourth season of The Office, specifically in the episode "Goodbye Toby" and later confirmed in the episode "A.A.R.M."
89	when do dwight and angela start dating again	season 9	Yes	Yes, the candidate is correct. Dwight and Angela start dating again in Season 9 of The Office, specifically in the episode "A.A.R.M."
89	when do dwight and angela start dating again	In the fifth season premiere	No	No, the candidate is not correct. Dwight and Angela start dating again in the episodes "Goodbye Toby" (Season 4 finale) and "A.A.R.M." (Season 9, Episode 22).
89	when do dwight and angela start dating again	the fifth season premiere	No	No, the candidate is not correct. Dwight and Angela start dating again in the episodes "Goodbye Toby" and "A.A.R.M." which are from the fourth and ninth seasons, respectively.
90	who is responsible for establishing local licensing forum	The Licensing Authority	Yes	Yes, the candidate is correct. The Licensing Authority, which includes unitary authorities, local authorities, or district councils, is responsible for establishing local licensing forums.
90	who is responsible for establishing local licensing forum	Landmark Worldwide	No	No, the candidate is not correct.
90	who is responsible for establishing local licensing forum	local authorities	Yes	Yes, the candidate is correct.
90	who is responsible for establishing local licensing forum	Local licensing forums are typically established by local governments or regulatory bodies.	Yes	Yes, the candidate is correct. Local licensing forums are typically established by local governments or regulatory bodies such as unitary authorities, local authorities, or district councils.
90	who is responsible for establishing local licensing forum	The local licensing authority	Yes	Yes, the candidate is correct. Local licensing authorities, which can be unitary authorities, local authorities, or district councils, are responsible for establishing local licensing forums.
90	who is responsible for establishing local licensing forum	the council	Yes	Yes, the candidate is correct.
90	who is responsible for establishing local licensing forum	the FCC	No	No
90	who is responsible for establishing local licensing forum	the uk licensing council	No	No, the candidate is not correct. The correct answer is unitary authorities, local authorities, or district councils.
91	what does istj mean in a personality test	Introversion	No	No, the candidate is not correct. ISTJ stands for Introverted, Sensing, Thinking, and Judging in a personality test, specifically in the Myers-Briggs Type Indicator (MBTI).
91	what does istj mean in a personality test	Sensing	No	No, the candidate is not correct. ISTJ stands for Introverted, Sensing, Thinking, and Judging in a personality test, specifically in the Myers-Briggs Type Indicator (MBTI). It represents a personality type characterized by a preference for introversion, practicality, logical thinking, and organization.
91	what does istj mean in a personality test	Extraversion	No	No, the candidate is not correct. ISTJ stands for Introverted, Sensing, Thinking, and Judging, which are four personality traits measured in the Myers-Briggs Type Indicator (MBTI) personality test.
91	what does istj mean in a personality test	Introverted, Sensing, Thinking, Judging	Yes	Yes, the candidate is correct. ISTJ stands for Introverted, Sensing, Thinking, and Judging in a personality test.
91	what does istj mean in a personality test	ISTJ stands for Introverted, Sensing, Thinking, Judging. It is one of the 16 personality types in the Myers-Briggs Type Indicator (MBTI).	Yes	Yes, the candidate is correct. ISTJ stands for Introverted, Sensing, Thinking, Judging, and it is one of the 16 personality types in the Myers-Briggs Type Indicator (MBTI).
92	what is the angle of the tower of pisa	3. 97 degrees	Yes	Yes, the candidate is correct. The angle of the Tower of Pisa is approximately 3.97 degrees.
92	what is the angle of the tower of pisa	18 degree	No	No, the candidate is not correct. The angle of the Tower of Pisa is about 3.99 degrees.
92	what is the angle of the tower of pisa	5.5 degrees	No	No, the candidate is not correct. The angle of the Tower of Pisa is about 3.99 degrees.
92	what is the angle of the tower of pisa	4.5 degrees	No	No, the candidate is not correct. The angle of the Tower of Pisa is about 3.99 degrees.
92	what is the angle of the tower of pisa	4.97 degrees	No	No, the candidate is not correct. The angle of the Tower of Pisa is about 3.99 degrees.
92	what is the angle of the tower of pisa	5.5 degrees.	No	No, the candidate is not correct. The angle of the Tower of Pisa is about 3.99 degrees.
93	who won the ncaa women's championship last year 2017	South Carolina Gamecocks	Yes	Yes
93	who won the ncaa women's championship last year 2017	The South Carolina Gamecocks won the 2017 NCAA Women's Basketball Championship.	Yes	Yes
93	who won the ncaa women's championship last year 2017	University of South Carolina	Yes	Yes, the candidate is correct.
93	who won the ncaa women's championship last year 2017	South Carolina	Yes	Yes, the candidate is correct.
94	5 cities with the highest population in europe	Istanbul	Yes	Yes, the candidate is correct. Istanbul is one of the cities with the highest population in Europe.
94	5 cities with the highest population in europe	Paris	No	No, the candidate is not correct.
94	5 cities with the highest population in europe	London	Yes	Yes, the candidate is correct. London is one of the cities with the highest population in Europe.
94	5 cities with the highest population in europe	vatican city	No	No, the candidate is not correct. Vatican City is not among the cities with the highest population in Europe.
94	5 cities with the highest population in europe	The five cities with the highest population in Europe are Istanbul, Moscow, London, Saint Petersburg, and Berlin.	Yes	Yes, the candidate is correct.
94	5 cities with the highest population in europe	Istanbul , Moscow , London , Saint Petersburg , Berlin	Yes	Yes, the candidate is correct.
95	who were the twins that played for kentucky	Harrison	Yes	Yes, the candidate is correct.
95	who were the twins that played for kentucky	Andrew	Yes	Yes, the candidate is correct.
95	who were the twins that played for kentucky	Aaron and Andrew Harrison	Yes	Yes, the candidate is correct.
95	who were the twins that played for kentucky	The Morris twins, Marcus and Markieff, played for the University of Kentucky from 2008 to 2011.	No	No, the candidate is incorrect. The correct answer is Andrew Michael Harrison and Aaron Harrison. The Morris twins, Marcus and Markieff, played for the University of Kansas, not Kentucky.
95	who were the twins that played for kentucky	Aaron and Andrew	Yes	Yes, the candidate is correct.
95	who were the twins that played for kentucky	Andrew Harrison	Yes	Yes, the candidate is correct.
95	who were the twins that played for kentucky	Daron	No	No, the candidate is not correct.
95	who were the twins that played for kentucky	Aaron	Yes	Yes, the candidate is correct.
96	who presides over the joint sessions of parliament	the Speaker	No	No, the candidate is not correct. The President presides over the joint sessions of parliament.
96	who presides over the joint sessions of parliament	The President of India	Yes	Yes, the candidate is correct. The President of India presides over the joint sessions of parliament.
96	who presides over the joint sessions of parliament	The President of India presides over the joint sessions of Parliament.	Yes	Yes, the candidate is correct. The President of India presides over the joint sessions of Parliament.
96	who presides over the joint sessions of parliament	presided over by speaker	No	No, the candidate is not correct. The President presides over the joint sessions of parliament.
96	who presides over the joint sessions of parliament	presided over by the speaker	No	No, the candidate is not correct. The President presides over the joint sessions of parliament.
96	who presides over the joint sessions of parliament	Speaker	No	No, the candidate is not correct. The President presides over the joint sessions of parliament.
97	when was the minimum wage established in the united states	July 24, 2009	No	No, the candidate is not correct. The minimum wage was established in the United States in 1938 with the Fair Labor Standards Act.
97	when was the minimum wage established in the united states	1938	Yes	Yes, the candidate is correct. The minimum wage was established in the United States in 1938 under the Fair Labor Standards Act.
97	when was the minimum wage established in the united states	July 24 2009	No	No, the candidate is not correct. The minimum wage was established in the United States in 1938 with the Fair Labor Standards Act.
97	when was the minimum wage established in the united states	The minimum wage was established in the United States in 1938.	Yes	Yes, the candidate is correct. The minimum wage was established in the United States in 1938 with the passage of the Fair Labor Standards Act.
98	when was the rock and roll hall of fame built in cleveland	September 1, 1995	Yes	Yes, the candidate is correct. The Rock and Roll Hall of Fame was built in Cleveland and opened on September 1, 1995.
98	when was the rock and roll hall of fame built in cleveland	September 2 , 1995	Yes	Yes, the candidate is correct. The Rock and Roll Hall of Fame was built in Cleveland and opened on September 2, 1995.
98	when was the rock and roll hall of fame built in cleveland	1997	No	No, the candidate is not correct. The Rock and Roll Hall of Fame was built in Cleveland in 1995.
98	when was the rock and roll hall of fame built in cleveland	The Rock and Roll Hall of Fame was built in Cleveland in 1995.	Yes	Yes, the candidate is correct.
98	when was the rock and roll hall of fame built in cleveland	June 7, 1993	No	No, the candidate is not correct. The Rock and Roll Hall of Fame was built in Cleveland in 1995.
99	how many rooms is there in buckingham palace	There are 775 rooms in Buckingham Palace.	Yes	Yes, the candidate is correct.
99	how many rooms is there in buckingham palace	over 1,100	No	No, the candidate is not correct. There are 775 rooms in Buckingham Palace.
99	how many rooms is there in buckingham palace	775	Yes	Yes, the candidate is correct.
100	where is the citrus bowl held this year	Camping World Stadium	Yes	Yes, the candidate is correct.
100	where is the citrus bowl held this year	The 2021 Citrus Bowl will be held at Camping World Stadium in Orlando, Florida.	Yes	Yes, the candidate is correct.
100	where is the citrus bowl held this year	January 1, 2018		I cannot determine if the candidate is correct without knowing the specific year being referred to. However, the Citrus Bowl is typically held at Camping World Stadium in Orlando, Florida.
100	where is the citrus bowl held this year	Orlando, Florida	Yes	Yes, the candidate is correct. The Citrus Bowl is held at Camping World Stadium in Orlando, Florida.
100	where is the citrus bowl held this year	January 1 2018	No	No
101	the chinese dragons are protectors of how many seas diggy	Unknown.	No	No, the candidate is not correct.
101	the chinese dragons are protectors of how many seas diggy	all waters	No	No, the candidate is not correct.
101	the chinese dragons are protectors of how many seas diggy	four	Yes	Yes, the candidate is correct.
102	who is the present president of assam sahitya sabha	Tarun Ram Phukan	No	No, the candidate is not correct.
102	who is the present president of assam sahitya sabha	Kanaksen Deka	No	No, the candidate is not correct. The correct answer is Dhrubajyoti Bora.
102	who is the present president of assam sahitya sabha	ram nath kovind	No	No, the candidate is not correct.
102	who is the present president of assam sahitya sabha	Vishwanath Prasad Tiwari	No	No, the candidate is not correct.
102	who is the present president of assam sahitya sabha	The current president of Assam Sahitya Sabha is Dr. Nagen Saikia.	No	No, the candidate is not correct. The current president of Assam Sahitya Sabha is Dhrubajyoti Bora.
102	who is the present president of assam sahitya sabha	dr. r. sabhapandit	No	No, the correct answer is Dhrubajyoti Bora.
102	who is the present president of assam sahitya sabha	Padmanath Gohain Baruah	No	No, the candidate is not correct. The correct answer is Dhrubajyoti Bora.
102	who is the present president of assam sahitya sabha	Dr. Dhrubajyoti Bora	Yes	Yes, the candidate is correct.
102	who is the present president of assam sahitya sabha	Ripun Bora	No	No, the candidate is not correct.
103	who has the power to approve or veto legislation constitution	President	Yes	Yes, the candidate is correct.
103	who has the power to approve or veto legislation constitution	The President of the United States has the power to approve or veto legislation passed by Congress.	Yes	Yes, the candidate is correct.
103	who has the power to approve or veto legislation constitution	the President	Yes	Yes, the candidate is correct.
103	who has the power to approve or veto legislation constitution	President of the United States	Yes	Yes, the candidate is correct. The President of the United States has the power to approve or veto legislation according to the U.S. Constitution.
103	who has the power to approve or veto legislation constitution	congress	No	No, the candidate is not correct. The President has the power to approve or veto legislation according to the Constitution.
104	who plays artemisia in 300 rise of an empire	eva green	Yes	Yes, the candidate is correct. Eva Green plays Artemisia in 300: Rise of an Empire.
104	who plays artemisia in 300 rise of an empire	Eva Green.	Yes	Yes, the candidate is correct. Eva Green plays Artemisia in 300: Rise of an Empire.
104	who plays artemisia in 300 rise of an empire	lena headey	No	No, the candidate is not correct.
105	who played cory's older brother on boy meets world	Eric Matthews (Will Friedle)	Yes	Yes, the candidate is correct. Eric Matthews, played by Will Friedle, is Cory's older brother on Boy Meets World.
105	who played cory's older brother on boy meets world	william alan friedle	Yes	Yes, the candidate is correct. William Alan Friedle, known as Will Friedle, played Cory's older brother on Boy Meets World.
105	who played cory's older brother on boy meets world	Will Friedle.	Yes	Yes, the candidate is correct.
105	who played cory's older brother on boy meets world	Will Friedle	Yes	Yes, the candidate is correct. Will Friedle played Cory's older brother, Eric Matthews, on Boy Meets World.
106	where are the organ mountains in new mexico	The Organ Mountains are located in Doña Ana County, New Mexico.	Yes	Yes, the candidate is correct. The Organ Mountains are located in Doña Ana County, which is in southern New Mexico.
106	where are the organ mountains in new mexico	southern new mexico	Yes	Yes, the candidate is correct.
106	where are the organ mountains in new mexico	dona ana county	Yes	Yes, the candidate is correct. The Organ Mountains are located in Doña Ana County, southern New Mexico.
106	where are the organ mountains in new mexico	Las Cruces	No	No, the candidate is not correct. The Organ Mountains are located in southern New Mexico, not Las Cruces. However, Las Cruces is a nearby city in southern New Mexico, and the Organ Mountains are a prominent feature in the area.
107	when is last time the astros won the world series	2017	Yes	Yes, the candidate is correct.
107	when is last time the astros won the world series	The Houston Astros won the 2017 World Series.	Yes	Yes, the candidate is correct.
108	how many walker texas ranger seasons are there	9	No	No, the candidate is not correct. There are 8 seasons of Walker, Texas Ranger.
108	how many walker texas ranger seasons are there	There are nine seasons of Walker, Texas Ranger.	No	No, the candidate is incorrect. There are eight seasons of Walker, Texas Ranger.
108	how many walker texas ranger seasons are there	8	Yes	Yes, the candidate is correct. There are 8 seasons of Walker, Texas Ranger.
108	how many walker texas ranger seasons are there	eight	Yes	Yes, the candidate is correct.
109	what is the name of the lymphatic vessels located in the small intestine	vasa recta	No	No, the candidate is not correct. The correct answer is lacteal or lacteals.
109	what is the name of the lymphatic vessels located in the small intestine	The lymphatic vessels located in the small intestine are called lacteals.	Yes	Yes, the candidate is correct.
109	what is the name of the lymphatic vessels located in the small intestine	lacteals	Yes	Yes, the candidate is correct.
110	who won the oscar for best actor in 1975	Peter Finch	No	No, the candidate is not correct. Art Carney won the Oscar for Best Actor in 1975.
110	who won the oscar for best actor in 1975	Al Pacino	No	No, the candidate is not correct. Art Carney won the Oscar for Best Actor in 1975.
110	who won the oscar for best actor in 1975	Art Carney for Harry and Tonto	Yes	Yes, the candidate is correct. Art Carney won the Oscar for Best Actor in 1975 for his role in Harry and Tonto.
110	who won the oscar for best actor in 1975	Al Lewis	No	No, the candidate is not correct. Art Carney won the Oscar for Best Actor in 1975.
110	who won the oscar for best actor in 1975	Meryl Streep	No	No, the candidate is not correct. Art Carney won the Oscar for Best Actor in 1975.
110	who won the oscar for best actor in 1975	Robert Donat	No	No, the candidate is not correct. Art Carney won the Oscar for Best Actor in 1975.
110	who won the oscar for best actor in 1975	art carney	Yes	Yes, the candidate is correct. Art Carney won the Oscar for Best Actor in 1975.
110	who won the oscar for best actor in 1975	Jack Nicholson	No	No, the candidate is not correct. Art Carney won the Oscar for Best Actor in 1975.
110	who won the oscar for best actor in 1975	Jack Nicholson won the Oscar for Best Actor in 1975 for his performance in One Flew Over the Cuckoo's Nest.	No	No, the candidate is incorrect. Art Carney won the Oscar for Best Actor in 1975 for his performance in Harry and Tonto. Jack Nicholson won the Oscar for Best Actor in 1976 for his performance in One Flew Over the Cuckoo's Nest.
111	a good that can be used in place of another good	substitute good	Yes	Yes, the candidate is correct.
111	a good that can be used in place of another good	public good	No	No, the candidate is not correct. The correct answer is "substitute good" or "A substitute good."
111	a good that can be used in place of another good	Substitute good.	Yes	Yes, the candidate is correct.
111	a good that can be used in place of another good	substitute	Yes	Yes, the candidate is correct.
112	who does april end up with on parks and rec	andy	Yes	Yes, the candidate is correct.
112	who does april end up with on parks and rec	Casey Jones	No	No, the candidate is not correct.
112	who does april end up with on parks and rec	April Ludgate eventually marries Andy Dwyer.	Yes	Yes, the candidate is correct.
112	who does april end up with on parks and rec	Andy Dwyer	Yes	Yes, the candidate is correct.
113	what is the latest version of chrome for linux	chrome engine 6	No	No, the candidate is not correct.
113	what is the latest version of chrome for linux	Version 79.0.3945.88	No	No, the candidate is not correct.
113	what is the latest version of chrome for linux	63. 0	No	No, the candidate is not correct.
113	what is the latest version of chrome for linux	26.0.1631.11	No	No
113	what is the latest version of chrome for linux	60	No	No, the candidate is not correct.
113	what is the latest version of chrome for linux	26.0.1491.0	No	No, the candidate is not correct.
113	what is the latest version of chrome for linux	The latest version of Chrome for Linux is version 87.0.4280.66.	No	No, the candidate is not correct.
113	what is the latest version of chrome for linux	26	No	No, the candidate is not correct.
114	when did the right to buy scheme start	The Right to Buy scheme was introduced in the United Kingdom in 1980.	Yes	Yes, the candidate is correct. The Right to Buy scheme started in 1980.
114	when did the right to buy scheme start	1 August 2016	No	No, the candidate is not correct. The Right to Buy scheme started in 1980.
114	when did the right to buy scheme start	1980	Yes	Yes, the candidate is correct. The Right to Buy scheme started in 1980.
115	who played ashley on the young and the restless	Eileen Davidson.	Yes	Yes, the candidate is correct. Eileen Davidson played Ashley on The Young and the Restless.
115	who played ashley on the young and the restless	eileen davidson	Yes	Yes, the candidate is correct. Eileen Davidson played Ashley on The Young and the Restless.
115	who played ashley on the young and the restless	Brenda Epperson	Yes	Yes, the candidate is correct. Brenda Epperson played Ashley on The Young and the Restless, along with Shari Shattuck and Eileen Davidson.
116	what is the main mineral in lithium batteries	lithium cobalt	No	No, the candidate is not correct. The main mineral in lithium batteries is lithium. Lithium cobalt is a specific type of lithium-ion battery chemistry, but the main mineral is still lithium.
116	what is the main mineral in lithium batteries	manganese	No	No, the candidate is not correct. The main mineral in lithium batteries is lithium.
116	what is the main mineral in lithium batteries	Lithium cobalt oxide.	Yes	Yes, the candidate is correct. Lithium cobalt oxide is one of the main minerals used in lithium batteries as the cathode material. However, it is important to note that there are other types of lithium batteries that use different minerals, such as lithium iron phosphate, lithium manganese oxide, and lithium nickel manganese cobalt oxide.
116	what is the main mineral in lithium batteries	water	No	No, the candidate is not correct. The main mineral in lithium batteries is lithium, not water.
116	what is the main mineral in lithium batteries	Lithium Cobalt Oxide	No	No, the candidate is not correct. The main mineral in lithium batteries is lithium. Lithium Cobalt Oxide is a specific type of cathode material used in some lithium-ion batteries, but it is not the main mineral in all lithium batteries.
116	what is the main mineral in lithium batteries	lithium	Yes	Yes, the candidate is correct.
117	when were cigarette ads banned from tv uk	Cigarette ads were banned from UK television in 1965.	Yes	Yes, the candidate is correct. Cigarette ads were banned from UK television on 1 August 1965.
117	when were cigarette ads banned from tv uk	1965	Yes	Yes, the candidate is correct. Cigarette ads were banned from TV in the UK on 1 August 1965.
117	when were cigarette ads banned from tv uk	1 August 1965	Yes	Yes, the candidate is correct. Cigarette ads were banned from TV in the UK on 1 August 1965.
118	who wrote were going on a bear hunt	michael rosen	Yes	Yes, the candidate is correct.
118	who wrote were going on a bear hunt	Michael Rosen.	Yes	Yes, the candidate is correct.
119	what mlb teams did deion sanders play for	Deion Sanders played for the Atlanta Braves, San Francisco Giants, Cincinnati Reds, San Diego Padres, Baltimore Orioles, and the Washington Nationals.	No	No, the candidate is incorrect. Deion Sanders played for the Atlanta Braves, Cincinnati Reds, New York Yankees, and San Francisco Giants. He did not play for the San Diego Padres, Baltimore Orioles, or Washington Nationals.
119	what mlb teams did deion sanders play for	Atlanta Braves	Yes	Yes
119	what mlb teams did deion sanders play for	San Francisco Giants	Yes	Yes
119	what mlb teams did deion sanders play for	Atlanta Falcons	No	No, the candidate is not correct. The Atlanta Falcons is an NFL team, not an MLB team. Deion Sanders played for the Atlanta Braves, Cincinnati Reds, New York Yankees, and San Francisco Giants in MLB.
119	what mlb teams did deion sanders play for	cincinnati reds	Yes	Yes
119	what mlb teams did deion sanders play for	New York Yankees	Yes	Yes
119	what mlb teams did deion sanders play for	San Francisco 49ers	No	No
120	when do you get your white coat in pharmacy school	the end of their first academic year	No	No, the candidate is not correct. The white coat is typically received before the first year begins or during the first year, not at the end of the first academic year.
120	when do you get your white coat in pharmacy school	During the first year of pharmacy school.	Yes	Yes, the candidate is correct. Students typically receive their white coat during the first year of pharmacy school, often at a White Coat Ceremony held before the first year begins or early in the first semester.
120	when do you get your white coat in pharmacy school	end of their first academic year	No	No, the candidate is not correct. Students typically receive their white coat before the first year begins or during a White Coat Ceremony at the beginning of their pharmacy education.
120	when do you get your white coat in pharmacy school	before the first year begins	Yes	Yes, the candidate is correct. Students typically receive their white coats in a White Coat Ceremony before the first year of pharmacy school begins.
120	when do you get your white coat in pharmacy school	before first year begins	Yes	Yes, the candidate is correct.
120	when do you get your white coat in pharmacy school	Most pharmacy schools hold a White Coat Ceremony at the beginning of the program to mark the transition from student to professional.	Yes	Yes, the candidate is correct. The White Coat Ceremony typically takes place at the beginning of the pharmacy program, marking the transition from student to professional.
121	what are the 5 boroughs of new york city	Manhattan , The Bronx , Brooklyn , Queens , and Staten Island	Yes	Yes, the candidate is correct.
121	what are the 5 boroughs of new york city	Manhattan	Yes	Yes, the candidate is correct.
121	what are the 5 boroughs of new york city	The five boroughs of New York City are Manhattan, Brooklyn, Queens, The Bronx, and Staten Island.	Yes	Yes, the candidate is correct.
121	what are the 5 boroughs of new york city	Brooklyn	Yes	Yes, the candidate is correct.
121	what are the 5 boroughs of new york city	queens	Yes	Yes
122	who was the first british team to win the european cup	Liverpool FC	No	No, the candidate is not correct. The first British team to win the European Cup was Celtic.
122	who was the first british team to win the european cup	celtic	Yes	Yes, the candidate is correct.
122	who was the first british team to win the european cup	Manchester United	No	No, the candidate is not correct. The first British team to win the European Cup was Celtic.
122	who was the first british team to win the european cup	Liverpool FC in 1977.	No	No, the candidate is not correct. The first British team to win the European Cup was Celtic in 1967.
123	who played pink in pink floyd the wall	Bob Geldof.	Yes	Yes, the candidate is correct. Bob Geldof played Pink in Pink Floyd The Wall.
123	who played pink in pink floyd the wall	bob geldof	Yes	Yes, the candidate is correct. Bob Geldof played Pink in Pink Floyd The Wall.
124	who lived in jamestown before the arrival of the english	The Powhatan Native American tribe lived in Jamestown before the arrival of the English.	Yes	Yes, the candidate is correct. The Powhatan Native American tribe lived in the area around Jamestown before the arrival of the English.
124	who lived in jamestown before the arrival of the english	Virginia Algonquians	Yes	Yes, the candidate is correct. The Virginia Algonquians, specifically the Powhatan tribe, lived in the area around Jamestown before the arrival of the English.
